Name,Serial_Name__c,Purchase_Date__c,Warranty_Expiry__c,AMC_Expiry__c,Contact__c,Defective__c,Product2Id
"HP Omen 15 - Unit1","SN-HP15-1001","2024-01-15","2025-01-15","2026-01-15","Contact1",FALSE,"HP Omen 15"
"HP Omen 16 - Unit1","SN-HP16-1002","2023-11-20","2024-11-20","2025-11-20","Contact2",FALSE,"HP Omen 16"
"Dell Inspiron 14 - Unit1","SN-DI14-2001","2022-05-10","2023-05-10","2024-05-10","Contact3",TRUE,"Dell Inspiron 14"
"Dell XPS 15 - Unit1","SN-DX15-2002","2024-03-12","2025-03-12","2026-03-12","Contact4",FALSE,"Dell XPS 15"
"Lenovo ThinkPad X1 - Unit1","SN-LTX1-3001","2023-07-05","2024-07-05","2025-07-05","Contact5",FALSE,"Lenovo ThinkPad X1 Carbon"
"MacBook Pro 16 - Unit1","SN-MBP16-4001","2024-02-14","2025-02-14","2026-02-14","Contact6",FALSE,"Apple MacBook Pro 16"
"LG Double Door 260L - Unit1","SN-LGFR-5001","2022-09-10","2023-09-10","2024-09-10","Contact7",TRUE,"LG Double Door 260L"
"Samsung Family Hub 550L - Unit1","SN-SMFH-5002","2023-06-18","2024-06-18","2025-06-18","Contact8",FALSE,"Samsung Family Hub 550L"
"Whirlpool Frost Free 300L - Unit1","SN-WHFF-6001","2021-08-25","2022-08-25","2023-08-25","Contact9",FALSE,"Whirlpool Frost Free 300L"
"IFB Front Load 7kg - Unit1","SN-IFB7-7001","2024-04-01","2025-04-01","2026-04-01","Contact10",FALSE,"IFB Front Load 7kg"
